,No attack,Alignments [ALL],Alignments [en],Alignments [de],Alignments [fr],Alignments [ja],Alignments [pt],Alignments [zh_cn]
perplexity,9.036714262711374,307.3777349672819,43.7378303816444,71.48303712041755,13.966300784914116,100.24469552793,15.619319273296155,42.227316336882744
intent_acc,0.9483443708609272,0.8251655629139073,0.8807947019867549,0.8728476821192053,0.8913907284768212,0.8768211920529801,0.8556291390728477,0.8754966887417218
slot_precision,0.8035538005923001,0.3361020468703649,0.579206758976766,0.5040186673580503,0.5613422818791947,0.2813870067756078,0.6445431824493196,0.3969253294289897
slot_recall,0.7935656836461126,0.44862403484458524,0.6460732984293194,0.5649520488230165,0.6038117239387814,0.38755718206770357,0.660876993166287,0.5570166426957057
slot_f1,0.798528510116493,0.3842957686763334,0.6108154931320381,0.5327486982734996,0.5818030050083471,0.3260467980295566,0.6526079010262898,0.4635376592288621
sementic_frame_acc,0.41456953642384103,0.10066225165562914,0.2251655629139073,0.17350993377483442,0.1562913907284768,0.05033112582781457,0.2052980132450331,0.1205298013245033
loss,0.9245101861655712,4.743341089549817,2.6827199317907033,2.7903565921281515,2.192519779581773,3.963273166355334,2.1233997627308496,3.037600921329699
time,1.231480598449707,290.20157074928284,54.181092500686646,53.93539810180664,57.10357594490051,47.509092807769775,58.69458079338074,52.752949237823486
