,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9430463576158941,0.9304073552110597,0.6993377483443709,0.628902015403391
Word level [en],0.8291390728476821,0.14602649006622515,0.0013245033112582781,17.09704391077945
Word level [de],0.8596026490066225,0.4249753902404725,0.0,15.664015569184956
Word level [es],0.8397350993377484,0.3626452445847081,0.0,16.342651688425164
Word level [fr],0.866225165562914,0.40823561494409594,0.0026490066225165563,15.546037774336966
Word level [ja],0.8741721854304636,0.6393664284334557,0.1576158940397351,1.7760688579396198
Word level [pt],0.8556291390728477,0.37979589200361713,0.0,15.381045994005705
Alignments [en],0.8874172185430463,0.655124266964535,0.015894039735099338,10.492342512231124
Alignments [de],0.8754966887417218,0.638572746847124,0.031788079470198675,10.640462155091136
Alignments [es],0.8543046357615894,0.5693098675103816,0.010596026490066225,11.801046938645213
Alignments [fr],0.8847682119205298,0.6361465794664174,0.010596026490066225,12.047381175191779
Alignments [ja],0.8980132450331125,0.721000805103115,0.18543046357615894,5.767010121348951
Alignments [pt],0.8887417218543047,0.6315343915343916,0.02119205298013245,10.785720674615158
