,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9403973509933775,0.8880045480386584,0.6847682119205298,0.5809180688658288
Word level [en],0.866225165562914,0.18200173060282662,0.010596026490066225,9.679460786518298
Word level [de],0.8264900662251655,0.5344059761528517,0.09403973509933775,5.179689445934797
Word level [es],0.823841059602649,0.4279510461902882,0.015894039735099338,6.310743085961593
Word level [fr],0.83841059602649,0.39472954230235785,0.06225165562913907,5.813074671594721
Word level [ja],0.7390728476821192,0.4045214045214045,0.02781456953642384,5.268480925183547
Word level [zh],0.7205298013245033,0.4812645281264529,0.038410596026490065,4.624854476828324
Alignments [en],0.9019867549668874,0.7504013832283563,0.31788079470198677,2.224347427269248
Alignments [de],0.9112582781456954,0.7588441803942748,0.4304635761589404,1.9758701035685493
Alignments [es],0.8900662251655629,0.7386104018277114,0.3086092715231788,1.9506711122040685
Alignments [fr],0.9072847682119205,0.7380634835956255,0.42251655629139073,1.7957122969980304
Alignments [ja],0.8900662251655629,0.41995630007283324,0.1152317880794702,5.627595069220192
Alignments [zh],0.8966887417218543,0.4880333872753598,0.16556291390728478,3.471877323875302
