,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.3610887048012381,0.9774834437086093,0.9462018009697529,0.95324494068388,0.9497103128621089,0.8543046357615894,1286744843.9773664,2.140852451324463
Word level [de],2.9012976495843183,0.9231788079470199,0.7055007784120394,0.7108496732026144,0.7081651256674047,0.23576158940397351,4.233872940674082e+66,9.589746952056885
Word level [es],5.002681699552034,0.8834437086092716,0.539120818357755,0.550381033022862,0.5446927374301677,0.0781456953642384,1.5085144059738024e+55,9.594182968139648
Word level [fr],5.7493609980533,0.9112582781456954,0.5455032119914347,0.5468204990609069,0.5461610612354282,0.07549668874172186,5.087408953239756e+127,9.604043006896973
Word level [ja],3.214917794654244,0.8543046357615894,0.40280870011988357,0.4555490993608367,0.4275586257044174,0.0913907284768212,1.9766510874038362e+18,9.919443845748901
Word level [pt],5.153827102560746,0.895364238410596,0.5498369818351188,0.5803834808259587,0.5646974408036355,0.038410596026490065,3.1264313928453176e+99,9.625988245010376
Word level [zh],2.4866671232800734,0.8701986754966887,0.6382400869092885,0.7111155941093403,0.6727099236641222,0.19602649006622516,2.395455323827502e+21,9.707642316818237
Alignments [de],1.8790073074522968,0.9483443708609272,0.7631164742917104,0.8166760247052218,0.7889883374016816,0.5125827814569537,2.8009232202423286e+77,9.698002576828003
Alignments [es],1.6698156319362552,0.9403973509933775,0.8093230264698993,0.819108582266477,0.8141864027335926,0.45165562913907287,5.587955128522118e+108,9.718944549560547
Alignments [fr],2.2231931026216203,0.9443708609271523,0.734715297822094,0.8064516129032258,0.7689139091033914,0.3894039735099338,1.270876503271168e+60,9.588567733764648
Alignments [ja],6.300420424538223,0.928476821192053,0.3733657294920745,0.5941815503590498,0.4585760977689356,0.10331125827814569,1.0092837834153404e+122,12.134745597839355
Alignments [pt],1.7588577548777193,0.9536423841059603,0.7647372632702054,0.8252734599884859,0.7938529696801884,0.4688741721854305,3.002181754794836e+44,9.582817554473877
Alignments [zh],3.1367521917778314,0.9483443708609272,0.5239079865598346,0.7713089802130898,0.6239802985993537,0.24900662251655628,8.883823880779332e+61,10.668926000595093
