,No attack,Word level [ALL],Word level [de],Word level [es],Word level [fr],Word level [ja],Word level [pt],Word level [zh_cn],Alignments [ALL],Alignments [de],Alignments [es],Alignments [fr],Alignments [ja],Alignments [pt],Alignments [zh_cn]
intent_acc,0.9682119205298013,0.27417218543046357,0.6304635761589404,0.7099337748344371,0.7072847682119205,0.6754966887417219,0.7403973509933774,0.6516556291390728,0.8185430463576159,0.9205298013245033,0.8807947019867549,0.8993377483443709,0.8834437086092716,0.8794701986754967,0.8768211920529801
slot_precision,0.9425233644859813,0.13516024152345565,0.49231150793650796,0.43433451118963484,0.5102365787079163,0.31960885229027275,0.4607019278299555,0.5354765075137912,0.3755699875639077,0.7492928773463615,0.7432881615954998,0.6829015544041451,0.37989617744218973,0.7232491538661807,0.5104042412193506
slot_recall,0.9363974001857011,0.11429693637077769,0.45464956481905633,0.3460004691531785,0.5022391401701747,0.36515092120736964,0.42363636363636364,0.5678838006858987,0.4865735767991407,0.7650301916513521,0.7245762711864406,0.7112790070156503,0.5176016717569523,0.7427807486631016,0.701329448187944
slot_f1,0.9394503959012576,0.12385613960417112,0.4727316027625625,0.3851677764721243,0.5062062739787858,0.3408654285975666,0.4413923750887994,0.5512042294889368,0.4239257584028699,0.7570797609768772,0.7338129496402876,0.6968014803066349,0.43818466353677626,0.732884843688168,0.5908254065664315
sementic_frame_acc,0.7642384105960265,0.0,0.039735099337748346,0.02119205298013245,0.030463576158940398,0.009271523178807948,0.019867549668874173,0.060927152317880796,0.08211920529801324,0.4278145695364238,0.33245033112582784,0.31920529801324504,0.0781456953642384,0.3920529801324503,0.18013245033112582
loss,0.45787806070660925,11.430625207800615,4.671510327489752,4.492403444490935,4.267085869688737,5.63978012737475,3.70940217218901,4.89750282011534,5.454161917535882,1.832800226148806,1.8609034902171084,2.200856185116266,4.463990532724481,2.130831297722302,3.124094297383961
perplexity,1135922.8434494054,943798992.0403553,26869521.718980383,9834411.13632762,26900110.846999545,47784098.14791329,30404790.00337601,79880508.6544222,2605374457.0722933,364521275.1199329,677150752.2260523,776310453.9628597,323780044.80002654,46921637.31244543,228388880.69612527
time,7.048524618148804,275.8346645832062,51.07222771644592,52.67464995384216,50.23788666725159,54.805389404296875,50.66311454772949,53.16842317581177,282.2931673526764,54.49748611450195,56.36271262168884,56.174256563186646,45.552109241485596,54.85628128051758,52.43587875366211
