,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9801324503311258,0.9437109103544128,0.8264900662251655,0.31724673714611284
Word level [de],0.9311258278145695,0.7666752510945146,0.343046357615894,1.6546558535412739
Word level [es],0.8768211920529801,0.5888128148817983,0.10860927152317881,3.0209231000197563
Word level [fr],0.8490066225165563,0.6026360751769588,0.08609271523178808,3.636686992017846
Word level [ja],0.8251655629139073,0.5515030060120241,0.1695364238410596,2.7047257147337262
Word level [pt],0.9006622516556292,0.597709128774731,0.07682119205298013,3.216508140062031
Word level [zh],0.871523178807947,0.7468984877297836,0.2781456953642384,1.737063459346169
Alignments [de],0.9536423841059603,0.8018660101075548,0.5112582781456954,1.3409015601108734
Alignments [es],0.9456953642384106,0.8291751223588396,0.5112582781456954,1.1233092033132714
Alignments [fr],0.928476821192053,0.7507309012329986,0.33642384105960266,1.7452875259332359
Alignments [ja],0.952317880794702,0.44374599101988454,0.1152317880794702,4.438192721103367
Alignments [pt],0.9642384105960264,0.8133697489920666,0.5218543046357615,1.1744050585113368
Alignments [zh],0.9496688741721855,0.6089599768401245,0.20927152317880796,2.3684193895051355
