,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9629139072847682,0.8790753838192169,0.680794701986755,0.4398194325107493
Word level [en],0.8119205298013245,0.22819272792405518,0.010596026490066225,8.680666175641512
Word level [de],0.8940397350993378,0.5317460317460317,0.13112582781456952,4.485775248627913
Word level [es],0.8582781456953642,0.3583443030568963,0.013245033112582781,8.424704234223617
Word level [ja],0.7364238410596027,0.33003173382055967,0.003973509933774834,5.649981629221063
Word level [pt],0.8834437086092716,0.3765223771093177,0.017218543046357615,7.583796971722653
Word level [zh],0.8092715231788079,0.36914309835373577,0.03576158940397351,3.413064936587685
Alignments [en],0.9178807947019868,0.6661251015434606,0.19337748344370861,2.4044309123566276
Alignments [de],0.9350993377483444,0.6919804632109658,0.33774834437086093,2.4878394989590897
Alignments [es],0.9152317880794701,0.6370433065312455,0.17350993377483442,2.5824371560623773
Alignments [ja],0.895364238410596,0.3720621210862885,0.0781456953642384,4.5174940819018765
Alignments [pt],0.9231788079470199,0.7150413223140496,0.343046357615894,2.2598527704022433
Alignments [zh],0.9086092715231788,0.4419827262485918,0.1152317880794702,3.0360322133490913
