,No attack,Alignments [ALL],Alignments [en],Alignments [de],Alignments [es],Alignments [ja],Alignments [pt],Alignments [zh_cn]
perplexity,2.449320092954134,1003.2767488830968,22.899137089126988,16.679311416023655,16.451502699601022,83.35073415982096,17.849287885113768,35.29211946286653
intent_acc,0.9642384105960264,0.8185430463576159,0.9072847682119205,0.9311258278145695,0.8966887417218543,0.8847682119205298,0.8821192052980132,0.8927152317880794
slot_precision,0.892271662763466,0.3576071096962462,0.6636748940413862,0.6422947131608548,0.6129563546527587,0.33567941877625157,0.6979768786127167,0.4373423044575273
slot_recall,0.9033787788974511,0.5640167364016736,0.7429528328216578,0.715987460815047,0.6433304523192164,0.5518850317282568,0.7351598173515982,0.6440957886044592
slot_f1,0.8977908689248896,0.4376978650864518,0.7010797998419805,0.6771420100800475,0.6277762159122856,0.41744900119997175,0.7160859896219423,0.5209550843212556
sementic_frame_acc,0.7324503311258278,0.10860927152317881,0.33642384105960266,0.45695364238410596,0.22119205298013245,0.11788079470198676,0.41324503311258276,0.18013245033112582
loss,0.5497836115194092,4.463127485074495,2.0258375327838096,2.003717099679144,2.01566407555028,3.5814225043121137,2.0793659160011693,2.8538007485239127
time,1.2469408512115479,297.4604289531708,56.35375714302063,56.05418086051941,58.406214475631714,50.91917848587036,58.30634832382202,53.23842120170593
