,No attack,Alignments [ALL],Alignments [en],Alignments [es],Alignments [fr],Alignments [ja],Alignments [pt],Alignments [zh_cn]
perplexity,4.976388416792217,264.08018905740033,14.919956638938503,31.738121874708877,20.499184509327538,60.74487712257787,20.898740976735166,36.68216455233725
intent_acc,0.9496688741721855,0.8105960264900662,0.8887417218543047,0.8596026490066225,0.871523178807947,0.8860927152317881,0.8622516556291391,0.8821192052980132
slot_precision,0.9146615335258261,0.3127413127413127,0.6679054950889302,0.5838926174496645,0.6360128617363344,0.32074438970990693,0.6766588076793533,0.4111198120595145
slot_recall,0.9173101673101673,0.4581447963800905,0.7188571428571429,0.5835520559930009,0.6780939321220432,0.48884254431699686,0.6918044077134986,0.595643294758339
slot_f1,0.9159839357429719,0.3717301514456172,0.692445300674281,0.5837222870478413,0.6563796250207401,0.38734198132694375,0.6841477949940405,0.4864714603409933
sementic_frame_acc,0.7536423841059603,0.10728476821192053,0.3337748344370861,0.19072847682119207,0.39072847682119205,0.0913907284768212,0.4119205298013245,0.152317880794702
loss,0.4900789522017524,4.531070616370753,2.00753685102651,2.361514925956726,2.283126199245453,3.3670598538298355,2.125867705674548,2.8514177165533368
time,1.203765869140625,276.79893469810486,52.27358150482178,54.031095027923584,54.57448410987854,44.74707293510437,53.75898718833923,49.278684854507446
