,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9615894039735099,0.9291455790413815,0.7841059602649006,0.4912045914817626
Word level [en],0.8397350993377484,0.3372538654684815,0.011920529801324504,7.473263464475933
Word level [es],0.8423841059602649,0.3430900333456836,0.013245033112582781,8.482340820212114
Word level [fr],0.8701986754966887,0.4243001786777844,0.005298013245033113,7.786609905644467
Word level [ja],0.7748344370860927,0.2766952455183164,0.031788079470198675,4.476265833252355
Word level [pt],0.8278145695364238,0.37972749267795747,0.011920529801324504,7.861569635491622
Word level [zh],0.7788079470198676,0.43569161844315846,0.054304635761589407,4.049696446092505
Alignments [en],0.9086092715231788,0.7635448403762086,0.36423841059602646,2.6521065338563763
Alignments [es],0.8874172185430463,0.660769446784611,0.2370860927152318,3.0431348652039705
Alignments [fr],0.9072847682119205,0.774964438122333,0.3456953642384106,3.0695432301022505
Alignments [ja],0.9059602649006623,0.4101849134135603,0.14701986754966886,5.638130186262884
Alignments [pt],0.8675496688741722,0.8013360441475457,0.4119205298013245,3.2790473668909583
Alignments [zh],0.9019867549668874,0.5259092950157161,0.1947019867549669,3.3277490609570552
