,No attack,Word level [ALL],Word level [en],Word level [es],Word level [fr],Word level [ja],Word level [pt],Word level [zh_cn],Alignments [ALL],Alignments [en],Alignments [es],Alignments [fr],Alignments [ja],Alignments [pt],Alignments [zh_cn]
intent_acc,0.9496688741721855,0.5549668874172186,0.7682119205298014,0.8490066225165563,0.8344370860927153,0.7880794701986755,0.7218543046357616,0.8582781456953642,0.8105960264900662,0.8900662251655629,0.8582781456953642,0.8701986754966887,0.8874172185430463,0.8675496688741722,0.8768211920529801
slot_precision,0.9146615335258261,0.2551908908238446,0.5599636583888552,0.5410876132930513,0.46338571005040025,0.5352073476203729,0.49037403740374036,0.5199662542182227,0.30910505836575874,0.6623586429725363,0.5820198482194979,0.6305323925593329,0.32423444644589167,0.6759040216289287,0.41418085272528504
slot_recall,0.9173101673101673,0.28042198233562315,0.5847564832384566,0.5298816568047338,0.4547570555717195,0.6024436090225563,0.533034379671151,0.5409596255119953,0.4519799726900319,0.7130434782608696,0.5833820947922762,0.6751373626373627,0.49692078997664046,0.6887052341597796,0.601906491148434
slot_f1,0.9159839357429719,0.26721215663354764,0.5720915841584158,0.5354260089686099,0.45903083700440533,0.5668386145910096,0.5108150694742873,0.5302552337252652,0.3671318975875774,0.6867671691792295,0.5827001753360608,0.6520729684908789,0.39241992285762206,0.6822445846836092,0.49070219261726344
sementic_frame_acc,0.7536423841059603,0.0026490066225165563,0.07417218543046358,0.07682119205298013,0.054304635761589407,0.08874172185430464,0.04768211920529802,0.13245033112582782,0.1271523178807947,0.30993377483443707,0.19337748344370861,0.3920529801324503,0.09801324503311258,0.42119205298013246,0.15894039735099338
loss,0.4900789522017524,6.434178267027202,2.578159343568902,2.6877273885827315,2.887973307935815,2.542776360009846,3.097947257443478,2.5732360165370136,4.581269193950452,2.04190804307398,2.370926586264058,2.270782614695398,3.3334528057198773,2.144857365206668,2.8995923105039094
perplexity,2897673.6805613623,72426396.33058965,5205706.161362827,4778974.225053706,4943031.315739727,7623221.389050648,4988365.459471017,4878862.421994417,10602129540.572006,11715296.397467446,11034725.153685136,8405617.095418215,174550145861.92288,85598842.2536662,1117708622.7879283
time,6.51976203918457,228.67834544181824,44.40453624725342,45.52112340927124,45.0651319026947,43.221174240112305,44.6644082069397,42.27994227409363,273.35030603408813,52.138760566711426,53.90490984916687,54.48207068443298,44.7691285610199,53.675633907318115,49.414448738098145
