,No attack,Alignments [ALL],Alignments [en],Alignments [es],Alignments [fr],Alignments [ja],Alignments [pt],Alignments [zh_cn]
perplexity,3.0661449971951935,846.5690056248715,19.916813845383494,29.751021844462343,24.783467220005235,148.08747049130892,40.35958147550884,49.9501189645968
intent_acc,0.9549668874172186,0.8119205298013245,0.9033112582781457,0.8781456953642384,0.8927152317880794,0.8900662251655629,0.8781456953642384,0.8781456953642384
slot_precision,0.9289340101522843,0.358695652173913,0.7051114023591087,0.6059814169570267,0.6575739988392338,0.355128974205159,0.7107692307692308,0.4730741012472487
slot_recall,0.9258928571428572,0.5234815278647464,0.7579599887292195,0.6059814169570267,0.7114599686028258,0.5456221198156682,0.7182835820895522,0.6618764114144939
slot_f1,0.9274109405276495,0.42569803954850205,0.730581205866377,0.6059814169570267,0.6834564922334488,0.4302325581395349,0.7145066501701206,0.5517713503337326
sementic_frame_acc,0.7695364238410596,0.152317880794702,0.40264900662251657,0.23443708609271524,0.41456953642384103,0.13642384105960265,0.4463576158940397,0.17748344370860927
loss,0.5489570256601406,5.145390609691018,2.105026287781565,2.578038581107792,2.2970517005183195,4.016122349939848,2.3290376762026233,3.1443447249500376
time,1.1995158195495605,277.5395109653473,53.266186237335205,55.080939531326294,55.725751638412476,45.623631715774536,54.63065719604492,50.304558992385864
