,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9615894039735099,0.9175982114340466,0.9243886743886743,0.9209809264305177,0.7774834437086092,0.4441355656760463,1531549.4591773683,6.563448190689087
Word level [ALL],0.433112582781457,0.24414245548266167,0.25652387986213687,0.2501800720288115,0.0026490066225165563,7.117375619787919,14500469.800138092,231.3796706199646
Word level [en],0.752317880794702,0.51105216622458,0.5487341772151899,0.5292232565237297,0.07417218543046358,2.8932491139361733,2469194.905374693,44.92996406555176
Alignments [ALL],0.8198675496688742,0.30410419506285025,0.449518692634878,0.3627822944896116,0.12582781456953643,4.561440520537527,31501226664.84628,277.4407813549042
Alignments [en],0.9152317880794701,0.6888536714210248,0.7481353987378083,0.7172717271727173,0.40264900662251657,1.7911322715741238,37564432.37736633,52.69716477394104
