,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9615894039735099,0.9181905678537055,0.7748344370860927,0.4297191020240701
Word level [en],0.8079470198675497,0.33306798280528577,0.011920529801324504,7.112589223761308
Word level [es],0.8291390728476821,0.3206286836935167,0.010596026490066225,7.33459923141881
Word level [fr],0.871523178807947,0.42469470827679784,0.01456953642384106,7.297472414217498
Word level [ja],0.6980132450331126,0.35371303603689264,0.04370860927152318,4.2499739736318585
Word level [pt],0.8450331125827815,0.3278416170566247,0.011920529801324504,7.378489311117875
Word level [zh],0.7973509933774835,0.2724572365051726,0.05562913907284768,3.6554234125112233
Alignments [en],0.9245033112582781,0.7382328654004955,0.3655629139072848,2.4580422105757815
Alignments [es],0.8794701986754967,0.6284550480069828,0.23311258278145697,3.0091959031788926
Alignments [fr],0.8701986754966887,0.7533164876816173,0.3390728476821192,3.149827322677562
Alignments [ja],0.919205298013245,0.38404897824108547,0.12317880794701987,4.979792249594864
Alignments [pt],0.8980132450331125,0.7680830360038923,0.3920529801324503,2.762720879588558
Alignments [zh],0.9125827814569536,0.4910514541387025,0.16556291390728478,2.947234440163562
