,No attack,Alignments [ALL],Alignments [en],Alignments [de],Alignments [es],Alignments [fr],Alignments [ja],Alignments [pt]
perplexity,2.4609311831624883,131281.8383151707,8751.829390363944,52262.15047966807,8956.974118262842,12476.22678658335,826.1216498801583,26655.0755558817
intent_acc,0.9483443708609272,0.7245033112582782,0.7788079470198676,0.7880794701986755,0.7350993377483444,0.7615894039735099,0.895364238410596,0.7602649006622516
slot_precision,0.9346679291221426,0.4254082914572864,0.509683426443203,0.47110228401191656,0.4007920792079208,0.4420171498570845,0.5875961421071908,0.42158447857720294
slot_recall,0.9242910647405029,0.4781150723614543,0.541980198019802,0.5285204991087344,0.4222824953056541,0.4776086476946834,0.5895394414502695,0.47517084282460137
slot_f1,0.9294505346694465,0.4502243643011467,0.5253358925143955,0.4981623437992229,0.4112567306715433,0.45912416498780617,0.5885661877101803,0.446776611694153
sementic_frame_acc,0.7231788079470198,0.13245033112582782,0.1152317880794702,0.13642384105960265,0.06357615894039735,0.08344370860927153,0.25165562913907286,0.09933774834437085
loss,0.6167450795884514,7.905360354875263,6.436864283210353,6.660379906704551,6.716795158386231,7.151021761643259,4.238331679293984,7.382015893333836
time,1.167637825012207,179.42780089378357,35.38715124130249,35.11249375343323,36.11180233955383,35.479461908340454,34.74372673034668,35.7770140171051
