,No attack,Alignments [ALL],Alignments [en],Alignments [de],Alignments [es],Alignments [fr],Alignments [pt],Alignments [zh_cn]
perplexity,4.44696408071016,159236.93018385235,7495.863766338951,8049.186823071932,5096.672005291989,5742.928403653596,14448.348289600171,78.67227934410697
intent_acc,0.9430463576158941,0.7086092715231788,0.7470198675496689,0.785430463576159,0.7337748344370861,0.7721854304635761,0.7496688741721854,0.8649006622516556
slot_precision,0.9155172413793103,0.3410377358490566,0.4779270633397313,0.4653644420329173,0.42931748604358005,0.4737903225806452,0.48043875685557585,0.6468842729970327
slot_recall,0.9090390321844328,0.40947706248820087,0.5490628445424476,0.5407734342160572,0.45288753799392095,0.5226445612616255,0.5475,0.6827007390705249
slot_f1,0.9122666361241554,0.37213691344256666,0.5110312981015905,0.5002430251774084,0.4407876490709069,0.49701980388386846,0.5117818889970789,0.6643100926377378
sementic_frame_acc,0.6622516556291391,0.09006622516556291,0.08211920529801324,0.10860927152317881,0.054304635761589407,0.09403973509933775,0.09536423841059603,0.24635761589403973
loss,0.6664718870974243,9.193322397533215,6.959979506542808,6.798762618867975,6.742996499412938,6.676311111450195,6.858505437248631,2.848347447106713
time,1.1923789978027344,163.02133131027222,32.22993564605713,32.802181005477905,33.19174003601074,33.08092784881592,33.06307363510132,34.49191093444824
