,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9788079470198675,0.9314272696206858,0.785430463576159,0.4081266267929765
Word level [en],0.866225165562914,0.1516541107107763,0.0,15.40939554917185
Word level [de],0.866225165562914,0.23184357541899442,0.0,14.950193585847554
Word level [es],0.8622516556291391,0.19259933272672125,0.0,14.179866820887515
Word level [fr],0.8556291390728477,0.3185040332437057,0.0,13.778452165503252
Word level [pt],0.8596026490066225,0.2760025461489497,0.0,14.32394077903346
Word level [zh],0.8516556291390729,0.6200921658986175,0.32847682119205296,1.8471452164022546
Alignments [en],0.8847682119205298,0.5348041730802121,0.011920529801324504,9.576060621361984
Alignments [de],0.9231788079470199,0.5261541835727601,0.01456953642384106,9.881351794694599
Alignments [es],0.9006622516556292,0.5040299906279287,0.003973509933774834,10.802665248670076
Alignments [fr],0.8980132450331125,0.555782678859602,0.005298013245033113,11.133218710046066
Alignments [pt],0.8927152317880794,0.5643215543930821,0.015894039735099338,9.70400393636603
Alignments [zh],0.9576158940397351,0.6104197169350903,0.18543046357615894,6.111852422939908
