,No attack,Word level [ALL],Word level [en],Word level [de],Word level [es],Word level [fr],Word level [pt],Word level [zh_cn],Alignments [ALL],Alignments [en],Alignments [de],Alignments [es],Alignments [fr],Alignments [pt],Alignments [zh_cn]
intent_acc,0.9165562913907285,0.8132450331125828,0.8900662251655629,0.8834437086092716,0.8966887417218543,0.8993377483443709,0.8807947019867549,0.8887417218543047,0.7324503311258278,0.7708609271523179,0.7827814569536424,0.7589403973509934,0.7774834437086092,0.7788079470198676,0.8490066225165563
slot_precision,0.9167769251124637,0.42568055890146955,0.6061584840654608,0.6188736027515047,0.62,0.5965202982601492,0.6218469431380932,0.6493297587131367,0.31839039887045534,0.44995539696699377,0.4343163538873995,0.42064658339456285,0.47763975155279503,0.43276078759949727,0.6866566716641679
slot_recall,0.9211645838872641,0.2868972235752557,0.5422847235600077,0.5353291186314615,0.512825278810409,0.5206073752711496,0.5142301573272052,0.5875788452207666,0.4083295608872793,0.5381988903115663,0.5207715133531158,0.4849639983058026,0.5607681088964511,0.5209278870398386,0.7314169570267132
slot_f1,0.9189655172413793,0.34277400581959266,0.57244534824606,0.5740777666999003,0.5613428280773144,0.5559845559845561,0.5629414610546686,0.6169128884360672,0.35779452598175326,0.4901370129239141,0.47363094568761954,0.45052134566201063,0.51587656529517,0.4727688787185355,0.7083304042179263
sementic_frame_acc,0.623841059602649,0.052980132450331126,0.07549668874172186,0.08344370860927153,0.08741721854304636,0.07947019867549669,0.0913907284768212,0.10066225165562914,0.0728476821192053,0.07417218543046358,0.08741721854304636,0.046357615894039736,0.10331125827814569,0.0728476821192053,0.22781456953642384
loss,0.7001756327153232,3.677140353855334,1.886295573334945,1.8996074754940837,2.0034280576204,2.019327892755207,2.0694079656349986,1.8012343977627001,8.315960921739277,6.442713970887033,6.324060517863224,6.364781816382157,5.969983444715801,6.483155064833792,2.536194344884471
perplexity,1683890.518168533,9574257.690401083,3773225.309007095,4659341.37338582,17040337.577515192,4033445.4877371057,5026190.198761937,4700839.325383381,65382566421.234955,64483650877.07767,771263637.3894368,1221126741.9444723,131478571.0954225,592065932.9330926,28717759.17734105
time,6.579710960388184,115.84036588668823,24.96436858177185,25.059738636016846,25.07941246032715,25.0989990234375,24.838231801986694,25.041303634643555,159.10181736946106,31.312439441680908,31.887061834335327,32.69030022621155,32.247063636779785,32.09964919090271,33.5932457447052
