,No attack,Word level [ALL],Word level [en],Word level [de],Word level [es],Word level [fr],Word level [pt],Word level [zh_cn]
perplexity,2.6237007366983516,86.41656464024594,11.216863117719951,15.271995446556494,10.722117875751696,13.47941817233437,16.391898096235174,15.916982387241564
intent_acc,0.9165562913907285,0.8119205298013245,0.8887417218543047,0.8980132450331125,0.895364238410596,0.9033112582781457,0.8940397350993378,0.8794701986754967
slot_precision,0.9167769251124637,0.42934381912017694,0.6077512776831345,0.6082919455841072,0.6316139030329865,0.5934687042076617,0.6114515106697654,0.6480257280686081
slot_recall,0.9211645838872641,0.28014753046824886,0.55288647810926,0.5235086415164467,0.5253176210642607,0.5235457063711911,0.5147634293845607,0.5822764488681972
slot_f1,0.9189655172413793,0.3390587093643862,0.5790221140190708,0.5627247303236116,0.5735826296743065,0.5563186813186813,0.5589570255915017,0.6133942161339423
sementic_frame_acc,0.623841059602649,0.052980132450331126,0.0781456953642384,0.07947019867549669,0.08079470198675497,0.07549668874172186,0.08874172185430464,0.09403973509933775
loss,0.6958602729988725,3.6780685424804687,1.893886807717775,1.9106032672681306,1.981193178578427,1.9564700158018815,2.0466060346678683,1.8392047599742287
time,1.1667201519012451,117.24124121665955,25.250048875808716,25.184332370758057,25.22921633720398,25.17221999168396,25.11484956741333,25.32439684867859
