,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9562913907284768,0.919909682560765,0.6635761589403973,0.5079125633377484
Word level [en],0.8264900662251655,0.13891050583657588,0.0,14.878550388938502
Word level [de],0.8026490066225166,0.24713258908089922,0.0,14.669889480189273
Word level [es],0.7417218543046358,0.16885743174924167,0.0,14.722969175639905
Word level [fr],0.7642384105960265,0.18994260726974582,0.0,13.987017420718544
Word level [pt],0.7894039735099337,0.21967635686667622,0.0,14.692281943873356
Word level [zh],0.8119205298013245,0.4526982739785886,0.06887417218543046,2.550246617668553
Alignments [en],0.8860927152317881,0.5315892012246033,0.006622516556291391,9.954299369611238
Alignments [de],0.9112582781456954,0.5474356152322254,0.018543046357615896,11.212655253159372
Alignments [es],0.8728476821192053,0.45302775856959404,0.005298013245033113,11.354337250558954
Alignments [fr],0.8794701986754967,0.5612867443150305,0.009271523178807948,11.238599089572304
Alignments [pt],0.871523178807947,0.552556506473557,0.019867549668874173,10.335372977507742
Alignments [zh],0.9205298013245033,0.6509447165850244,0.11920529801324503,6.781551117724494
